128 100 16
122	  0
122	  0
122	  65142
122	  394
122	  216
121	  85
121	  65450
121	  65320
121	  335
122	  65314
122	  65314
121	  64068
121	  1482
121	  208
122	  65235
122	  187
122	  287
122	  65469
122	  65258
122	  923
122	  243
122	  403
121	  38
122	  65191
122	  77
122	  229
122	  10
122	  64881
122	  64652
122	  238
122	  65495
122	  65357
121	  65282
121	  273
122	  951
122	  369
122	  64110
122	  198
122	  420
122	  65456
122	  707
122	  65475
122	  64563
122	  64975
122	  59829
121	  138
121	  822
122	  64413
122	  1015
122	  64904
122	  104
121	  5440
122	  250
122	  1002
121	  125
122	  64986
121	  65341
121	  299
121	  443
121	  63787
122	  65227
122	  1827
122	  65460
122	  64840
122	  65366
122	  129
122	  170
122	  1019
122	  65315
122	  225
122	  100
122	  65160
122	  110
122	  65432
122	  119
122	  64299
122	  3388
122	  420
122	  65043
122	  377
122	  848
122	  65242
122	  64720
121	  1232
122	  1372
122	  404
122	  82
122	  65286
122	  364
122	  335
122	  65288
122	  65240
122	  64103
122	  233
122	  65439
122	  65453
122	  244
122	  65328
122	  65359
122	  450
122	  99
122	  357
122	  65241
122	  755
122	  762
122	  65366
122	  65208
122	  65313
122	  63866
122	  64538
122	  275
121	  65306
122	  65442
122	  275
121	  79
121	  61741
122	  682
122	  65060
122	  65512
122	  770
122	  65346
122	  413
122	  58
122	  65092
122	  65418
122	  65400
122	  249
122	  64825
